Purchase Type,Credit Score,Finance Type,State,PMA,Year,Vehicle Count
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,2023,11
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,2024,16
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,2025,17
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,2023,40
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,2024,54
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,2025,49
NEW,601 - 660,LEASE,MONTANA,0001 - Kalispell,2023,34
NEW,601 - 660,LEASE,MONTANA,0001 - Kalispell,2024,56
NEW,601 - 660,LEASE,MONTANA,0001 - Kalispell,2025,59
NEW,601 - 660,LOAN,MONTANA,0001 - Kalispell,2023,149
NEW,601 - 660,LOAN,MONTANA,0001 - Kalispell,2024,135
NEW,601 - 660,LOAN,MONTANA,0001 - Kalispell,2025,136
USED,300 - 600,LEASE,MONTANA,0001 - Kalispell,2023,1
USED,300 - 600,LEASE,MONTANA,0001 - Kalispell,2024,1
USED,300 - 600,LEASE,MONTANA,0001 - Kalispell,2025,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,2023,296
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,2024,260
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,2025,300
USED,601 - 660,LEASE,MONTANA,0001 - Kalispell,2023,2
USED,601 - 660,LEASE,MONTANA,0001 - Kalispell,2024,1
USED,601 - 660,LEASE,MONTANA,0001 - Kalispell,2025,1
USED,601 - 660,LOAN,MONTANA,0001 - Kalispell,2023,482
USED,601 - 660,LOAN,MONTANA,0001 - Kalispell,2024,426
USED,601 - 660,LOAN,MONTANA,0001 - Kalispell,2025,457
