Purchase Type,Credit Score,Finance Type,State,PMA,Make,Lender Type,Amount Financed,2023 Vehicle Count,2024 Vehicle Count,2025 Vehicle Count
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,BMW,CAPTIVE,"$30,000 - $34,999",0,0,1
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,BUICK,CAPTIVE,"$5,000 - $9,999",1,0,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,CHEVROLET,CAPTIVE,"$15,000 - $19,999",1,0,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,CHEVROLET,CAPTIVE,"$25,000 - $29,999",0,1,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$25,000 - $29,999",0,0,1
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,HONDA,CAPTIVE,"$10,000 - $14,999",1,0,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,HONDA,CAPTIVE,"$15,000 - $19,999",1,0,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,HONDA,CAPTIVE,"$20,000 - $24,999",1,1,1
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,HYUNDAI,CAPTIVE,"$15,000 - $19,999",0,0,1
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,JEEP,CAPTIVE,"$25,000 - $29,999",0,1,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,NISSAN,CAPTIVE,"$5,000 - $9,999",1,0,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,NISSAN,CAPTIVE,"$20,000 - $24,999",0,1,1
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,SUBARU,BANK,"$10,000 - $14,999",0,1,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,SUBARU,BANK,"$15,000 - $19,999",1,1,1
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,TOYOTA,CAPTIVE,"$5,000 - $9,999",0,1,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,TOYOTA,CAPTIVE,"$10,000 - $14,999",1,1,2
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,TOYOTA,CAPTIVE,"$15,000 - $19,999",2,1,3
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,TOYOTA,CAPTIVE,"$20,000 - $24,999",0,2,3
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,TOYOTA,CAPTIVE,"$25,000 - $29,999",0,1,2
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,TOYOTA,CAPTIVE,"$30,000 - $34,999",0,2,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,TOYOTA,CAPTIVE,"$35,000 - $39,999",1,0,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,TOYOTA,CAPTIVE,"$45,000 - $49,999",0,1,0
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,VOLKSWAGEN,CAPTIVE,"$10,000 - $14,999",0,0,1
NEW,300 - 600,LEASE,MONTANA,0001 - Kalispell,VOLKSWAGEN,CAPTIVE,"$20,000 - $24,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,AUDI,UNKNOWN,"$10,000 - $14,999",0,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,BMW,CAPTIVE,"$150,000 - $175,000",0,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,BUICK,BANK,"$35,000 - $39,999",1,0,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CADILLAC,CAPTIVE,"$60,000 - $69,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,BANK,"$10,000 - $14,999",1,0,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,BANK,"$15,000 - $19,999",0,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,BANK,"$25,000 - $29,999",2,2,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,BANK,"$30,000 - $34,999",0,2,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,BANK,"$35,000 - $39,999",0,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,BANK,"$40,000 - $44,999",1,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,BANK,"$60,000 - $69,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CAPTIVE,"$15,000 - $19,999",0,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CAPTIVE,"$20,000 - $24,999",0,1,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CAPTIVE,"$25,000 - $29,999",0,2,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CAPTIVE,"$35,000 - $39,999",1,0,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CAPTIVE,"$40,000 - $44,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CAPTIVE,"$50,000 - $59,999",0,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CREDIT UNION,"$25,000 - $29,999",1,0,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CREDIT UNION,"$30,000 - $34,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,CREDIT UNION,"$60,000 - $69,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,INDEPENDENT,"$25,000 - $29,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,INDEPENDENT,"$30,000 - $34,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,CHEVROLET,INDEPENDENT,"$35,000 - $39,999",1,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,DODGE,CAPTIVE,"$50,000 - $59,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,BANK,"$25,000 - $29,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,BANK,"$40,000 - $44,999",1,0,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,BANK,"$50,000 - $59,999",0,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,BANK,"$80,000 - $89,999",0,0,1
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,BANK,"$90,000 - $99,999",1,0,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,BANK,"$100,000 - $124,999",1,0,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$25,000 - $29,999",0,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$35,000 - $39,999",1,1,0
NEW,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$60,000 - $69,999",1,0,1
